Date,Close/Last,Volume,Open,High,Low,Day
10/09/2024,727.43,1981070,719.25,728.59,718.87,91
10/08/2024,721.76,3187402,703.88,725.06,703.5457,92
10/07/2024,701.92,3360520,714.755,715.88,696.43,93
10/04/2024,719.7,2230139,713.32,721.01,708.82,94
10/03/2024,706.8,2256449,704.26,708.81,700,95
10/02/2024,711.09,1758167,706.13,716.21,704.6878,96
10/01/2024,706.13,2813482,713.64,717.76,698.59,97
09/30/2024,709.27,1711508,707,711.21,702.8192,98
09/27/2024,707.35,2395613,708.36,710.71,701.2509,99
09/26/2024,711.43,2832962,724.73,725.26,701.72,100
09/25/2024,721.56,2259775,721,725.12,716.21,101
09/24/2024,722.26,3565731,706.625,722.44,704.45,102
09/23/2024,705.37,3224344,702.39,712.2499,699.16,103
09/20/2024,701.03,3998062,705.55,706.6732,696.31,104
09/19/2024,704.32,4228480,705,715.66,695.37,105
09/18/2024,690.47,2984411,707.55,707.55,688,106
09/17/2024,706.91,2298630,700.82,707.63,698.37,107
09/16/2024,696.5,1843745,700,703.02,688.6316,108
09/13/2024,697.06,2276482,680.01,699.64,680,109
09/12/2024,686.8,2588437,684.92,694.88,682.2,110
09/11/2024,681.47,2391924,677.46,682.97,660.8,111
09/10/2024,673.62,2079182,676.87,680.5899,665.805,112
09/09/2024,675.42,2683111,674,683.5,672.14,113
09/06/2024,665.77,2991265,681.86,683.1518,662.34,114
09/05/2024,683.62,1810072,673.14,687.31,671.86,115
09/04/2024,679.68,1785337,673.31,684.65,673.06,116
09/03/2024,675.32,3160964,700.1,703.86,671.01,117
08/30/2024,701.35,3266723,700.36,701.86,688.16,118
08/29/2024,692.48,2186974,690,699.8,686.07,119
08/28/2024,683.84,2430583,695.83,696.67,677.1,120
08/27/2024,695.72,3164878,688.53,707.89,686.92,121
08/26/2024,688.44,1354154,687.26,690.59,681.6376,122
08/23/2024,686.73,2354450,694.13,696.07,678.63,123
08/22/2024,688.96,2729389,691,701.5,686.24,124
08/21/2024,697.12,2235343,697,701,691.38,125
08/20/2024,698.54,4813118,688.86,711.33,688.245,126
08/19/2024,688.53,3016227,674.07,688.84,672.91,127
08/16/2024,674.07,3511014,669.43,680.23,665.36,128
08/15/2024,663.22,3210173,668.49,673.19,659.8,129
08/14/2024,661.68,4014344,648.7,663.57,648.7,130
08/13/2024,648.02,2639571,638.56,650.97,635.5,131
08/12/2024,633.14,2331712,631,639,627.07,132
08/09/2024,633.94,1980836,622.99,636.62,622.99,133
