Date,Close/Last,Volume,Open,High,Low,Day,Source
04/24/2020,424.99,8670362,425,427.17,415.88,43,nasdaq
04/27/2020,421.38,6277480,425,429,420.84,44,nasdaq
04/28/2020,403.83,10101230,419.99,421,402.9101,45,nasdaq
04/29/2020,411.89,9693137,399.53,415.86,393.6,46,nasdaq
04/30/2020,419.85,7953975,410.31,424.44,408,47,nasdaq
05/01/2020,415.27,8299858,415.1,427.97,411.73,48,nasdaq
05/04/2020,428.15,7799058,417.78,428.54,414.87,49,nasdaq
05/05/2020,424.68,6286293,427.555,431,421.56,50,nasdaq
05/06/2020,434.26,6660737,429.3,439.77,426.385,51,nasdaq
05/07/2020,436.53,5650281,436.89,438.88,430.66,52,nasdaq
05/08/2020,435.55,5054308,434.14,442,433.6389,53,nasdaq
05/11/2020,440.52,5486037,436.33,444.8899,435.56,54,nasdaq
05/12/2020,431.82,4598211,442,444.17,431.36,55,nasdaq
05/13/2020,438.27,7014563,435.69,447,427.27,56,nasdaq
05/14/2020,441.95,9007467,444.9,452.38,432.82,57,nasdaq
05/15/2020,454.19,7243998,440.7,455,437.51,58,nasdaq
05/18/2020,452.58,7780309,451.16,456.36,443.35,59,nasdaq
05/19/2020,451.04,4810487,453.397,458.97,450.465,60,nasdaq
05/20/2020,447.67,5607257,454.25,455.81,444,61,nasdaq
05/21/2020,436.25,9117325,448.56,448.96,430.25,62,nasdaq
05/22/2020,429.32,5422334,437,439.09,427.18,63,nasdaq
05/26/2020,414.77,7881115,427.77,428.5,413.14,64,nasdaq
05/27/2020,419.89,10446340,410.38,420.02,397.86,65,nasdaq
05/28/2020,413.44,5660160,417.24,422.3717,411.5,66,nasdaq
05/29/2020,419.73,5270484,417.46,420.295,411.85,67,nasdaq
06/01/2020,425.92,3748573,418.83,426.72,415.98,68,nasdaq
06/02/2020,427.31,3494801,425.87,427.59,419.46,69,nasdaq
06/03/2020,421.97,4316044,426.95,427.1,418.05,70,nasdaq
06/04/2020,414.33,5410529,422.39,428.71,410.03,71,nasdaq
06/05/2020,419.6,5099561,407.29,420.2392,404.25,72,nasdaq
06/08/2020,419.49,5851453,416,420.8,406.5,73,nasdaq
06/09/2020,434.05,6796999,421.65,434.73,420.31,74,nasdaq
06/10/2020,434.48,4896893,436,439.69,430.55,75,nasdaq
06/11/2020,425.56,7462868,428.2,445.57,424.1601,76,nasdaq
06/12/2020,418.07,6461127,429,434.06,412.45,77,nasdaq
06/15/2020,425.5,4471499,421.4,426.49,415.4238,78,nasdaq
06/16/2020,436.13,5514016,425.76,437.96,425.18,79,nasdaq
06/17/2020,447.77,6529568,441.82,450.46,439.22,80,nasdaq
06/18/2020,449.87,4277627,448.73,452.76,442.8,81,nasdaq
06/19/2020,453.72,5933651,449.12,453.97,445.6,82,nasdaq
06/22/2020,468.04,6272105,455.01,468.59,454.21,83,nasdaq
06/23/2020,466.26,5948436,466.5,474.01,464.5,84,nasdaq
06/24/2020,457.85,4826191,468.54,472.36,454,85,nasdaq
06/25/2020,465.91,4134513,458.86,467.01,454,86,nasdaq
06/26/2020,443.4,6804726,466.39,468.03,442.24,87,nasdaq
06/29/2020,447.24,4843978,445.23,447.67,432.14,88,nasdaq
06/30/2020,455.04,4198545,450.02,457.59,447,89,nasdaq
07/01/2020,485.64,9705870,454,488.23,454,90,nasdaq
07/02/2020,476.89,6351485,485.64,492.28,475.5258,91,nasdaq
07/06/2020,493.81,7838990,480.77,499.5,479.8,92,nasdaq
07/07/2020,493.16,5669870,497.311,504.82,490.83,93,nasdaq
07/08/2020,502.78,5691682,498.576,505.1,493.81,94,nasdaq
07/09/2020,507.76,5840541,508.4,510,495.78,95,nasdaq
